mode,count,rouge_l_mean,rouge_l_std,total_tokens_mean,total_tokens_std,total_tokens_normalized_to_direct,latency_sec_mean,latency_sec_std,reproducibility,valid_json_rate
direct,6,0.41666666666666663,0.27386127875258304,45.5,3.8340579025361627,1.0,0.23566468332622512,0.03652203453899048,1.0,None
cot,6,0.41666666666666663,0.27386127875258304,166.83333333333334,45.845028810839096,3.666666666666667,1.5199525666830596,0.45506213475083046,1.0,None
ps,6,0.503968253968254,0.20226420535515327,188.5,67.32532955730703,4.142857142857143,1.6214449999970384,0.7205548896496092,0.5,None
pmr,6,0.5476190476190476,0.13041013273932525,2916.5,298.9051689081338,64.0989010989011,7.09056978332228,1.3116585023210725,1.0,1.0
