metric,direct,cot,ps,pmr
ROUGE-L,0.1667 ± 0.0000,0.1667 ± 0.0000,0.3774 ± 0.0000,0.4286 ± 0.0000
Содержательная корректность,—,—,—,—
Обоснованность выбора,—,—,—,—
Глубина альтернатив,—,—,—,—
Воспроизводимость,1.0000,1.0000,1.0000,1.0000
Суммарное число токенов, нормализованное,1.0000,4.9524,6.0238,72.6429
Задержка ответа,0.4002 ± 0.0000,2.0892 ± 0.0000,2.3735 ± 0.0000,7.3911 ± 0.0000
Доля корректных JSON-ответов,—,—,—,1.0000
